antecedent,consequent,support,confidence
{'BMI_24_30'},{'HeartDisease'},0.21334892046907536,0.4985274659609885
{'BMI_24_30'},{'Smoking'},0.2114492383005151,0.4940885227709249
{'BMI_24_30'},{'isMale'},0.248383443539254,0.5803918221008152
{'HeartDisease'},{'PhysicalNotHealth'},0.23656522850984546,0.4731304570196909
{'HeartDisease'},{'Smoking'},0.29293464362693167,0.5858692872538633
{'HeartDisease'},{'isMale'},0.2947977934460965,0.589595586892193
{'MentalNotHealth'},{'isFemale'},0.20255361122273774,0.5806671204901294
{'PhysicalNotHealth'},{'HeartDisease'},0.23656522850984546,0.6286588029707296
{'PhysicalNotHealth'},{'Smoking'},0.20956782230665255,0.5569147128780156
{'Smoking'},{'HeartDisease'},0.29293464362693167,0.5943592024312505
{'Smoking'},{'isMale'},0.28621269133817995,0.5807204803202135
{'isMale'},{'BMI_24_30'},0.248383443539254,0.4727765802099993
{'isMale'},{'HeartDisease'},0.2947977934460965,0.5611223141645226
{'isMale'},{'Smoking'},0.28621269133817995,0.5447813086711634
